title,link,genre
abba,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=ABBA,Musik
adac,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=ADAC,Verkehr
adhs,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=ADHS,Gesundheit
afaik,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=AFAIK,Computer|Internet
afk,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=AFK,Ohne_Kategorie
an-12-unfall-in-juba,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=AN-12%20Unfall%20in%20Juba,Ohne_Kategorie|Hurraki:Überarbeiten|Aus_den_Nachrichten|Seiten_mit_defekten_Dateilinks
aarhus-konvention,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Aarhus-Konvention,Politik|Seiten_mit_defekten_Dateilinks
aaron-fotheringham,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Aaron%20Fotheringham,Personen|Sport
abbruchkante,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abbruchkante,Natur
abendland,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abendland,Geschichte|Seiten_mit_defekten_Dateilinks
abendrot,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abendrot,Natur
abfall,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abfall,Entsorgung|Öffentliche_Verwaltung
abfalltrennung,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abfalltrennung,Entsorgung|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks
abfindung,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abfindung,Arbeit|Recht_und_Gesetz|Seiten_mit_defekten_Dateilinks
abfuhren,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abf%C3%BChren,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks
abfullen,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abf%C3%BCllen,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks
abgeordnete,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abgeordnete,Politik
abgeordnetengesetz,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abgeordnetengesetz,Politik|Recht_und_Gesetz
abhoren,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abh%C3%B6ren,Ohne_Kategorie
abhoren-wortklarung,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abh%C3%B6ren%20%28Wort%C2%B7kl%C3%A4rung%29,Wörter_mit_verschiedenen_Bedeutungen
abitur,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abitur,Schule_und_Lernen|Seiten_mit_defekten_Dateilinks
abkurzung,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abk%C3%BCrzung,Sprache|Leichte_Sprache_Regeln
abraham-lincoln,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abraham%20Lincoln,Personen
abrollschuh,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abrollschuh,Kleider
abschiebung-recht-und-gesetz,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abschiebung%20%28Recht%20und%20Gesetz%29,Recht_und_Gesetz|Seiten_mit_defekten_Dateilinks
abschrecken-beim-kochen,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abschrecken%20%28beim%20Kochen%29,Essen_und_Trinken|Seiten_mit_defekten_Dateilinks
abspann,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abspann,Film_und_Kino|Radio_und_Fernsehen
abspecken,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abspecken,Gesundheit
abstauber,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abstauber,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks
abstinenz,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abstinenz,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks
absto,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Absto%C3%9F,Sport
abteilung,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Abteilung,Seiten_mit_defekten_Dateilinks|Arbeit
achttausender,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Achttausender,Biologie|Natur
ad-acta,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Ad%20acta,Ohne_Kategorie
ad-hoc,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Ad%20hoc,Ohne_Kategorie
adam-ries,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Adam%20Ries,Personen
addition,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Addition,Zählen_und_Rechnen|Seiten_mit_defekten_Dateilinks
adjektiv,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Adjektiv,Sprache
adoption,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Adoption,Ohne_Kategorie
adrett,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Adrett,Ohne_Kategorie
adventskalender,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Adventskalender,Ohne_Kategorie
adverb,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Adverb,Sprache
aerobic,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Aerobic,Sport
affenpocken,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Affenpocken,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks
affare,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Aff%C3%A4re,Ohne_Kategorie
afrika,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Afrika,Länder
aggressor,https://hurraki.de/w/api.php?action=parse&prop=categories|text&format=json&page=Aggressor,Ohne_Kategorie
