,topic,url_normal,url_simple
0,alkohol-sucht,https://de.wikipedia.org/wiki/Alkoholkrankheit,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Alkohol-Sucht100.html
1,anpfiff,https://de.wikipedia.org/wiki/Anpfiff,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Anpfiff100.html
2,arbeits-papiere,"https://de.wikipedia.org/wiki/Arbeitspapiere, https://de.wikipedia.org/wiki/Arbeitserlaubnis",https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-arbeits-papiere-100.html
3,aufenthalts-erlaubnis,https://de.wikipedia.org/wiki/Aufenthaltserlaubnis,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-aufenthalts-erlaubnis-100.html
4,aula,https://de.wikipedia.org/wiki/Aula,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-aula-100.html
5,auswartiges-amt,https://de.wikipedia.org/wiki/Ausw%C3%A4rtiges_Amt,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Auswaertiges-Amt-100.html
6,baby-sitter,https://de.wikipedia.org/wiki/Babysitter,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Baby-Sitter100.html
7,bahnrad-rennen,https://de.wikipedia.org/wiki/Bahnradsport,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-bahnrad-rennen-100.html
8,baseball-schlager,https://de.wikipedia.org/wiki/Baseballschl%C3%A4ger,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-baseball-schlaeger-100.html
9,bevolkerungs-ruckgang,https://de.wikipedia.org/wiki/Bev%C3%B6lkerungsr%C3%BCckgang,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-bevoelkerungs-rueckgang-100.html
10,bezirk,https://de.wikipedia.org/wiki/Bezirk,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-bezirke-100.html
11,buchhalter-oder-buchhalterin,https://de.wikipedia.org/wiki/Buchhalter,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-buchhalterin-100.html
12,daten,https://de.wikipedia.org/wiki/Daten,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-daten-102.html
13,deutsche-fernseh-lotterie,"https://de.wikipedia.org/wiki/Deutsche_Fernsehlotterie, https://de.wikipedia.org/wiki/Lotterie",https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-deutsche-fernseh-lotterie-100.html
